"predict","false","true"
"false",3.1745152473449707,-3.17451548576355
"false",3.379758596420288,-3.379758596420288
"false",1.60361647605896,-1.6036165952682495
"false",3.3806328773498535,-3.3806331157684326
"false",1.1032941341400146,-1.1032942533493042
"false",3.261719226837158,-3.261719226837158
"false",3.4616668224334717,-3.4616668224334717
"false",3.3905885219573975,-3.3905887603759766
"false",3.3920905590057373,-3.3920907974243164
"false",3.4466099739074707,-3.4466099739074707
"true",-0.729047954082489,0.7290478944778442
"false",3.4466562271118164,-3.4466562271118164
"false",3.3059651851654053,-3.3059654235839844
"false",3.2771692276000977,-3.2771694660186768
"false",3.3568925857543945,-3.3568928241729736
"false",3.3611907958984375,-3.3611907958984375
"false",3.4588539600372314,-3.4588539600372314
"false",3.4466562271118164,-3.4466562271118164
"false",3.167619228363037,-3.167619228363037
"false",3.4739108085632324,-3.4739108085632324
"false",3.0725271701812744,-3.0725274085998535
"false",3.4588539600372314,-3.4588539600372314
"false",3.4432406425476074,-3.4432406425476074
"false",3.171729803085327,-3.1717300415039062
"true",-0.21166962385177612,0.21166960895061493
"false",1.22091805934906,-1.2209182977676392
"false",3.3133273124694824,-3.3133275508880615
"false",3.087343692779541,-3.087343692779541
"true",-0.07106040418148041,0.07106035947799683
"false",3.1497724056243896,-3.1497726440429688
"false",1.5894335508346558,-1.5894336700439453
"false",3.1188671588897705,-3.1188671588897705
"false",3.160992383956909,-3.160992383956909
"false",1.8807843923568726,-1.880784511566162
"false",3.4739108085632324,-3.4739108085632324
"false",3.4432406425476074,-3.4432406425476074
"false",0.6760088801383972,-0.676008939743042
"false",3.2616729736328125,-3.2616729736328125
"false",3.4739108085632324,-3.4739108085632324
"false",2.0953845977783203,-2.0953845977783203
"false",3.211667060852051,-3.21166729927063
"false",3.31203031539917,-3.31203031539917
"false",3.379804849624634,-3.379804849624634
"false",3.288973808288574,-3.288973808288574
"false",1.4154635667800903,-1.4154636859893799
"false",3.384936571121216,-3.384936809539795
"false",3.261719226837158,-3.261719226837158
"false",3.4359166622161865,-3.4359166622161865
"false",3.4616668224334717,-3.4616668224334717
"false",2.3303375244140625,-2.3303375244140625
"false",3.354313373565674,-3.354313373565674
"false",2.1882457733154297,-2.1882457733154297
"false",0.19740015268325806,-0.19740012288093567
"false",3.3850605487823486,-3.3850607872009277
"false",3.2798666954040527,-3.279866933822632
"false",3.3948616981506348,-3.3948616981506348
"false",3.2539174556732178,-3.253917932510376
"false",3.466379404067993,-3.466379404067993
"false",3.3770339488983154,-3.3770339488983154
"false",3.3905422687530518,-3.390542507171631
"false",2.1741445064544678,-2.1741445064544678
"false",3.3923444747924805,-3.3923444747924805
"false",3.3948616981506348,-3.3948616981506348
"false",3.4588539600372314,-3.4588539600372314
"false",0.6164710521697998,-0.6164711713790894
"false",3.3044166564941406,-3.3044166564941406
"false",3.2942068576812744,-3.2942073345184326
"false",3.4738645553588867,-3.4738645553588867
"false",3.128744602203369,-3.128744602203369
"false",3.272502899169922,-3.272503137588501
"false",3.4739108085632324,-3.4739108085632324
"false",3.284700632095337,-3.284700870513916
"false",1.4364402294158936,-1.4364404678344727
"false",3.4588077068328857,-3.4588077068328857
"false",3.4739108085632324,-3.4739108085632324
"false",3.3456149101257324,-3.3456149101257324
"false",0.737694501876831,-0.7376945614814758
"false",3.3641915321350098,-3.3641915321350098
"false",3.3772873878479004,-3.3772876262664795
"false",0.8711400032043457,-0.8711400032043457
"false",1.1742852926254272,-1.1742855310440063
"false",3.3106167316436768,-3.310617208480835
"false",3.3905422687530518,-3.390542507171631
"false",3.273653745651245,-3.273653984069824
"false",3.3948616981506348,-3.3948616981506348
"false",3.451322555541992,-3.451322555541992
"false",3.3854031562805176,-3.3854031562805176
"false",3.2584898471832275,-3.2584900856018066
"false",2.131044864654541,-2.13104510307312
"false",3.4466562271118164,-3.4466562271118164
"false",3.3522262573242188,-3.352226495742798
"false",3.334813356399536,-3.334813356399536
"false",3.4375128746032715,-3.4375128746032715
"false",3.368978500366211,-3.36897873878479
"true",-0.1952839195728302,0.1952839493751526
"false",3.2771692276000977,-3.2771694660186768
"false",3.0828843116760254,-3.0828843116760254
"false",3.3948616981506348,-3.3948616981506348
"false",3.340768337249756,-3.340768337249756
"false",2.1170661449432373,-2.1170661449432373
"false",3.194350481033325,-3.1943507194519043
"false",3.4738645553588867,-3.4738645553588867
"false",3.3017385005950928,-3.301738739013672
"false",3.2584898471832275,-3.2584900856018066
"false",3.4739108085632324,-3.4739108085632324
"false",3.0931334495544434,-3.0931336879730225
"false",3.369957685470581,-3.369957685470581
"false",3.31203031539917,-3.31203031539917
"false",3.3948616981506348,-3.3948616981506348
"false",3.284700632095337,-3.284700870513916
"false",3.281442403793335,-3.281442403793335
"false",1.123863697052002,-1.1238638162612915
"false",3.3854031562805176,-3.3854031562805176
"false",3.2771692276000977,-3.2771694660186768
"false",3.0346386432647705,-3.0346386432647705
"false",3.2771692276000977,-3.2771694660186768
"false",3.368022918701172,-3.368022918701172
"false",3.385014295578003,-3.385014533996582
"false",2.9610397815704346,-2.9610400199890137
"false",3.1609461307525635,-3.1609461307525635
"false",1.351871132850647,-1.3518712520599365
"false",3.3548879623413086,-3.3548882007598877
"false",3.3774831295013428,-3.3774831295013428
"false",3.4739108085632324,-3.4739108085632324
"false",3.287968158721924,-3.287968158721924
"false",3.451322555541992,-3.451322555541992
"false",3.284654378890991,-3.2846546173095703
"false",1.786049485206604,-1.7860496044158936
"false",3.4617130756378174,-3.4617130756378174
"false",3.3910794258117676,-3.3910794258117676
"false",1.308300495147705,-1.3083006143569946
"false",1.6943156719207764,-1.694315791130066
"false",3.4663331508636475,-3.4663331508636475
"false",3.385014295578003,-3.385014533996582
"false",2.1914398670196533,-2.1914398670196533
"false",3.4739108085632324,-3.4739108085632324
"false",3.306011438369751,-3.30601167678833
"false",3.2889275550842285,-3.2889275550842285
"false",2.87135648727417,-2.87135648727417
"false",1.9404819011688232,-1.9404821395874023
"false",3.299609661102295,-3.299609899520874
"false",2.878166437149048,-2.878166437149048
"false",3.3624260425567627,-3.362426280975342
"false",2.7705869674682617,-2.770587205886841
"false",3.3723676204681396,-3.3723676204681396
"false",3.340768337249756,-3.340768337249756
"false",2.2525322437286377,-2.2525322437286377
"false",3.1120619773864746,-3.1120619773864746
"false",3.377058267593384,-3.377058267593384
"false",3.384906053543091,-3.384906053543091
"false",3.276776075363159,-3.276776075363159
"false",3.4738645553588867,-3.4738645553588867
"false",3.3143389225006104,-3.3143391609191895
"false",2.3303375244140625,-2.3303375244140625
"false",3.3689322471618652,-3.3689324855804443
"false",3.368022918701172,-3.368022918701172
"false",2.0625202655792236,-2.0625202655792236
"false",3.3835437297821045,-3.3835437297821045
"false",2.2444584369659424,-2.2444586753845215
"false",3.4737250804901123,-3.4737250804901123
"false",0.013256578706204891,-0.013256598263978958
"false",2.192903995513916,-2.192903995513916
"false",3.375972032546997,-3.375972032546997
"true",-0.6596708297729492,0.659670889377594
"false",3.032214641571045,-3.032214403152466
"false",3.3910751342773438,-3.3910751342773438
"false",2.16794753074646,-2.16794753074646
